Date, Open, High, Low, Close
12/16/22, 3890.91, 3890.91, 3827.91, 3852.36
12/15/22, 3958.37, 3958.37, 3879.45, 3895.75
12/14/22, 4015.54, 4053.76, 3965.65, 3995.32
12/13/22, 4069.38, 4100.96, 3993.03, 4019.65
12/12/22, 3939.29, 3990.71, 3935.30, 3990.56
12/09/22, 3954.17, 3977.02, 3933.04, 3934.38
12/08/22, 3947.79, 3974.19, 3935.83, 3963.51
12/07/22, 3933.28, 3957.57, 3922.68, 3933.92
12/06/22, 3996.63, 4001.51, 3918.39, 3941.26
12/05/22, 4052.02, 4052.45, 3984.49, 3998.84
12/02/22, 4040.17, 4080.48, 4026.63, 4071.70
12/01/22, 4087.14, 4100.51, 4050.87, 4076.57
11/30/22, 3957.18, 4080.11, 3938.58, 4080.11
11/29/22, 3964.19, 3976.77, 3937.65, 3957.63
11/28/22, 4005.36, 4012.27, 3955.77, 3963.94
11/25/22, 4023.34, 4034.02, 4020.76, 4026.12
11/23/22, 4001.02, 4033.78, 3998.66, 4027.26
11/22/22, 3965.51, 4005.88, 3956.88, 4003.58
11/21/22, 3956.23, 3962.00, 3933.34, 3949.94
11/18/22, 3966.39, 3979.89, 3935.98, 3965.34
11/17/22, 3919.26, 3954.33, 3906.54, 3946.56
11/16/22, 3976.82, 3983.09, 3954.34, 3958.79
11/15/22, 4006.41, 4028.84, 3953.17, 3991.73
11/14/22, 3977.97, 4008.97, 3956.40, 3957.25
11/11/22, 3963.72, 4001.48, 3944.82, 3992.93
11/10/22, 3859.89, 3958.33, 3859.89, 3956.37
11/09/22, 3810.94, 3818.20, 3744.22, 3748.57
11/08/22, 3817.02, 3859.40, 3786.28, 3828.11
11/07/22, 3780.71, 3813.95, 3764.70, 3806.80
11/04/22, 3766.98, 3796.34, 3708.84, 3770.55
11/03/22, 3733.25, 3750.59, 3698.15, 3719.89
11/02/22, 3852.90, 3894.44, 3758.68, 3759.69
11/01/22, 3901.79, 3911.79, 3843.80, 3856.10
10/31/22, 3881.85, 3893.73, 3863.18, 3871.98
10/28/22, 3808.26, 3905.42, 3808.26, 3901.06
10/27/22, 3834.69, 3859.95, 3803.79, 3807.30
10/26/22, 3825.97, 3886.15, 3824.07, 3830.60
10/25/22, 3799.44, 3862.85, 3799.44, 3859.11
10/24/22, 3762.01, 3810.74, 3741.65, 3797.34
10/21/22, 3657.10, 3757.89, 3647.42, 3752.75
10/20/22, 3689.05, 3736.00, 3656.44, 3665.78
10/19/22, 3703.11, 3728.58, 3666.51, 3695.16
10/18/22, 3746.26, 3762.79, 3686.53, 3719.98
10/17/22, 3638.65, 3689.73, 3638.65, 3677.95
10/14/22, 3690.41, 3712.00, 3579.68, 3583.07
10/13/22, 3520.37, 3685.41, 3491.58, 3669.91
10/12/22, 3590.83, 3608.34, 3573.86, 3577.03
10/11/22, 3595.86, 3640.66, 3568.45, 3588.84
10/10/22, 3647.51, 3652.17, 3588.10, 3612.39
10/07/22, 3706.74, 3706.74, 3620.73, 3639.66
10/06/22, 3771.97, 3797.93, 3739.22, 3744.52
10/05/22, 3753.25, 3806.91, 3722.66, 3783.28
10/04/22, 3726.46, 3791.92, 3726.46, 3790.93
10/03/22, 3609.78, 3698.35, 3604.93, 3678.43
09/30/22, 3633.48, 3671.44, 3584.13, 3585.62
09/29/22, 3687.01, 3687.01, 3610.40, 3640.47
09/28/22, 3651.94, 3736.74, 3640.61, 3719.04
09/27/22, 3686.44, 3717.53, 3623.29, 3647.29
09/26/22, 3682.72, 3715.67, 3644.76, 3655.04
09/23/22, 3727.14, 3727.14, 3647.47, 3693.23
09/22/22, 3782.36, 3790.90, 3749.45, 3757.99
09/21/22, 3871.40, 3907.07, 3789.49, 3789.93
09/20/22, 3875.23, 3876.01, 3827.54, 3855.93
09/19/22, 3849.91, 3900.45, 3838.50, 3899.89
